Index  Temperature[C]  Zr[at%]         Nb[at%]         Mo[at%]         Cr[at%]         Al[at%]         Ti[at%]         Ta[at%]         W[at%]          Time[h]         MassChange[mg.cm2](Real) MassChange[mg.cm2](Predicted)
0      1100.00000      0.00000         20.00000        20.00000        20.00000        20.00000        20.00000        0.00000         0.00000         47.49550        8.22908                8.34913               
1      1000.00000      0.00000         0.00000         20.00000        20.00000        20.00000        20.00000        0.00000         20.00000        19.49950        6.30659                6.43912               
2      1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         9.74777         3.33154                4.03129               
3      1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         18.74967        0.93930                1.33021               
4      1200.00000      0.00000         50.00000        0.00000         50.00000        0.00000         0.00000         0.00000         0.00000         20.50450        12.99326               13.43163              
5      1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         22.04350        -0.37989               -0.35531              
6      1200.00000      0.00000         0.00000         23.50000        23.80000        23.90000        23.70000        5.10000         0.00000         15.00000        3.33602                3.52273               
7      1200.00000      0.00000         0.00000         23.75000        23.75000        5.00000         23.75000        23.75000        0.00000         18.50106        4.99618                5.28127               
8      1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         2.65663         2.50576                4.01480               
9      1000.00000      18.50000        21.80000        10.00000        18.40000        0.00000         19.40000        11.90000        0.00000         99.49950        116.55791              118.15413             
10     1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        0.00000         25.00000        0.00000         7.50140         1.04127                1.13358               
11     1200.00000      0.00000         0.00000         23.75000        23.75000        23.75000        23.75000        5.00000         0.00000         2.49327         1.97617                2.30271               
12     1100.00000      0.00000         0.00000         20.00000        20.00000        20.00000        20.00000        20.00000        0.00000         48.00000        2.83487                2.99484               
13     1000.00000      0.00000         20.00000        20.00000        20.00000        20.00000        20.00000        0.00000         0.00000         0.00000         0.04386                0.00000               
14     1200.00000      0.00000         0.00000         23.75000        23.75000        5.00000         23.75000        23.75000        0.00000         17.50747        4.87237                5.12580               
15     1000.00000      0.00000         0.00000         20.00000        20.00000        20.00000        20.00000        0.00000         20.00000        17.49750        6.11060                6.22048               
16     1100.00000      0.00000         20.00000        20.00000        20.00000        20.00000        20.00000        0.00000         0.00000         20.49304        5.51765                5.59708               
17     1200.00000      0.00000         50.00000        0.00000         50.00000        0.00000         0.00000         0.00000         0.00000         0.00000         0.36887                0.00000               
18     1000.00000      0.00000         0.00000         20.00000        20.00000        20.00000        20.00000        0.00000         20.00000        4.48448         3.45127                3.63657               
19     1000.00000      18.50000        21.80000        10.00000        18.40000        0.00000         19.40000        11.90000        0.00000         13.46346        35.73117               36.14411              
20     1200.00000      0.00000         0.00000         22.50000        22.50000        22.50000        10.00000        22.50000        0.00000         16.50521        5.01249                5.36197               
